payroll_employment_fte,payroll_employment_contract,payroll_employment_weeklyHours,id,address_siteState,work_site,work_startDate,work_tenureYears,work_isManager,work_yearsOfService,internal_status,active,fullName,displayName,work_department,eeo_ethnicity,employee_jobLevelId,personal_age,personal_birthDate,personal_nationality,home_legalGender,personal_pronouns,about_superpowers,about_hobbies,home_numberofkids,work_title,about_foodPreferences,internal_probationEndDate,internal_terminationReason,internal_terminationDate,internal_terminationType,humanReadable_payroll_timeSinceLastSalaryChange,timeOffRequest_type,timeOffBalance_totalTaken,peopleanalytics_teamsizeriskindicator,peopleanalytics_numwithsametitleriskindicator,peopleanalytics_yearswithrecentsalaryriskindicator,peopleanalytics_yearswithcurrenttitleriskindicator,peopleanalytics_kidsriskindicator,peopleanalytics_timeofffrequencyriskindicator,peopleanalytics_tenurerankriskindicator,peopleanalytics_ismanagerriskindicator,peopleanalytics_numofdirectreportsriskindicator,peopleanalytics_teamrecentturnoverriskindicator,peopleanalytics_ageriskindicator,peopleanalytics_recentmanagerchangeriskindicator,peopleanalytics_managertenureriskindicator,peopleanalytics_lowriskcounter,peopleanalytics_someriskcounter,peopleanalytics_atriskcounter,payroll_salary_monthlyPayment,payroll_salary_yearlyPayment,financial_bankName,payroll_salary_payFrequency,employeeNumber,Bonus_amount_value,variable_Bonus_amount,Commission_amount_value,executiveBonus_amount_value,lunchVouchers_amount_value,cycleToWork_amount_value,childcareVouchers_amount_value,deduction_seasonTicketLoans_amount,deduction_companyCar_amount,work_manager
1.0,Full-Time,30.51802645661017,3283846668914525184,West Bengal,Kolkata,2024-01-19,1,False,6,Active,True,Hanu real Indrakanti,Hanu real Indrakanti,Customer Service,White,L3,29,1995-10-16,USA,Male,He/Him,"football, blogging",,0.0,Technical Consultant,Any,2024-07-19,Unknown,,,1.0,Paid Leave,27.0,50.0,50.0,50.0,50.0,10.0,10.0,100.0,50.0,50.0,100.0,100.0,10.0,10.0,4.0,6.0,3.0,26000,312000,Standard Chartered,monthly,EMP3135,26000.0,31200.0,0.0,0.0,1200.0,0.0,0.0,1000.0,0.0,Jason Blood
1.0,Full-Time,43.15923811204947,3283846715890729984,Karnataka,Bengaluru,2013-11-01,11,True,12,Active,True,Niall Finley,Niall Finley,Platform,White,L5,35,1989-07-10,UK,Female,She/Her,"travelling, chess, sports entertainment","cycling,football,film",0.0,Senior Backend Developer,Any,2014-05-02,Unknown,,,0.0,Paid Leave,29.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,10.0,100.0,100.0,8.0,0.0,5.0,58000,696000,HSBC,monthly,EMP6670,58000.0,69600.0,27840.0,41760.0,1200.0,600.0,0.0,1000.0,0.0,Damian Wayne
1.0,Full-Time,36.83187573601147,3283846721947304960,Karnataka,Bengaluru,2014-02-02,11,True,13,Active,True,Ralph Laurence,Ralph Laurence,Finance & Admin,African American,L6,37,1987-08-08,USA,Female,She/Her,"sports entertainment, cooking, blogging","pilates,yoga,craft beer",0.0,Senior Finance Manager,Vegetarian,2014-08-03,Unknown,,,0.0,Sick Leave,49.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0,10.0,10.0,100.0,10.0,50.0,50.0,9.0,2.0,2.0,62500,750000,HSBC,monthly,EMP3200,62500.0,75000.0,30000.0,45000.0,1200.0,0.0,0.0,1000.0,3000.0,Victor Fries
1.0,Full-Time,42.66480022090794,3283846724732322816,West Bengal,Kolkata,2014-03-12,11,True,13,Active,True,Sofia Hopkins,Sofia Hopkins,Sales,White,L5,35,1989-04-11,UK,Male,He/Him,"coffee, fitness, cooking","skiing,snowboarding",1.0,Regional Sales Manager,Any,2014-09-10,Unknown,,,0.0,Paid Leave,27.0,50.0,10.0,10.0,10.0,50.0,10.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,9.0,3.0,1.0,60000,720000,HSBC,monthly,EMP7362,60000.0,72000.0,28800.0,43200.0,1200.0,0.0,2000.0,1000.0,0.0,Harvey Bullock
1.0,Full-Time,44.062438591138665,3283846727500563456,Karnataka,Bengaluru,2015-01-28,10,True,12,Active,True,Lara Hunter,Lara Hunter,Sales,White,L6,35,1989-05-31,UK,Male,He/Him,"coffee, fitness, cooking","yoga,cooking,cycling",0.0,Senior Sales Manager,Kosher,2015-07-29,Unknown,,,0.0,Paid Leave,27.0,50.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,10.0,2.0,1.0,59000,708000,HSBC,monthly,EMP8217,59000.0,70800.0,28320.0,42480.0,1200.0,600.0,0.0,2000.0,0.0,Jim Gordon
1.0,Full-Time,47.16674079000554,3283846729765487616,Karnataka,Bengaluru,2015-02-10,10,True,16,Active,True,Owen Reed,Owen Reed,Sales,White,L6,38,1986-07-27,USA,Male,He/Him,"sports entertainment, cooking, blogging","cooking,football",1.0,Senior Sales Manager,Any,2015-08-11,Unknown,,,2.0,Paid Leave,34.0,50.0,10.0,100.0,100.0,50.0,50.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,6.0,4.0,3.0,67000,804000,HSBC,monthly,EMP5793,67000.0,80400.0,32160.0,48240.0,1200.0,0.0,2000.0,1000.0,3000.0,Renee Montoya
1.0,Full-Time,37.98251346218287,3283846732475008000,Karnataka,Bengaluru,2015-02-10,10,True,12,Active,True,Summer Keira Hall,Summer Hall,Machine Learning,White,L6,34,1990-05-20,Canada,Male,He/Him,"fitness, coffee, football","rugby,film",2.0,Principal Data Scientist,Any,2015-08-11,Unknown,,,0.0,Paid Leave,31.0,50.0,10.0,10.0,10.0,100.0,50.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,8.0,3.0,2.0,59000,708000,HSBC,monthly,EMP3137,59000.0,70800.0,28320.0,42480.0,1200.0,600.0,4000.0,1000.0,0.0,Stephanie Brown
1.0,Full-Time,47.80564888383975,3283846735201305600,Karnataka,Bengaluru,2015-02-05,10,True,12,Active,True,Patrick Danielle Kirby,Patrick Kirby,Sales,White,L6,36,1988-04-08,UK,Female,She/Her,"sports entertainment, football","chess,theatre,film",0.0,Senior Sales Manager,Any,2015-08-06,Unknown,,,3.0,Paid Leave,31.0,50.0,10.0,100.0,100.0,10.0,50.0,10.0,10.0,50.0,100.0,10.0,10.0,10.0,7.0,3.0,3.0,59000,708000,HSBC,monthly,EMP6773,59000.0,70800.0,28320.0,42480.0,1200.0,0.0,0.0,0.0,0.0,Jim Gordon
1.0,Full-Time,40.44370516974898,3283846737390732288,Karnataka,Bengaluru,2015-03-10,10,True,10,Active,True,Mason White,Mason White,IT,African American,L4,31,1993-05-27,USA,Male,He/Him,"chess, football","pilates,football",2.0,Site Reliability Engineer,Vegan,2015-09-08,Unknown,,,0.0,Maternity Leave,180.0,50.0,10.0,10.0,10.0,100.0,50.0,10.0,10.0,50.0,100.0,50.0,50.0,50.0,5.0,6.0,2.0,50000,600000,HSBC,monthly,EMP7032,50000.0,60000.0,0.0,0.0,1200.0,0.0,4000.0,0.0,0.0,Hal Jordan
1.0,Full-Time,44.04063475723536,3283846742742664192,Karnataka,Bengaluru,2014-11-11,10,True,12,Active,True,Toby Atkinson,Toby Atkinson,Finance & Admin,White,L6,33,1991-10-22,UK,Female,She/Her,"travelling, chess, sports entertainment","yoga,cooking,cycling",2.0,Senior Finance Manager,Any,2015-05-12,Unknown,,,1.0,Sick Leave,43.0,10.0,10.0,50.0,50.0,100.0,100.0,10.0,10.0,10.0,100.0,10.0,50.0,50.0,6.0,4.0,3.0,59000,708000,HSBC,monthly,EMP6079,59000.0,70800.0,28320.0,42480.0,1200.0,0.0,4000.0,1000.0,0.0,Victor Fries
